Moneda,Fecha,Market_Cap
bitcoin,2020-03-07,162543409238.00458
bitcoin,2020-03-08,147076617271.6885
bitcoin,2020-03-09,144664117909.4077
bitcoin,2020-03-10,144410718987.88852
bitcoin,2020-03-11,144948460093.29614
bitcoin,2020-03-12,93092131086.97026
bitcoin,2020-03-13,101262945297.35811
bitcoin,2020-03-14,95216478864.65564
bitcoin,2020-03-15,98632587514.00247
bitcoin,2020-03-16,91962797384.28253
bitcoin,2020-03-17,98079756006.79294
bitcoin,2020-03-18,98259998309.05324
bitcoin,2020-03-19,112778383593.49141
bitcoin,2020-03-20,113030383272.51407
bitcoin,2020-03-21,112349835902.32983
bitcoin,2020-03-22,107128564670.89128
bitcoin,2020-03-23,118046727572.5451
bitcoin,2020-03-24,123064256188.85924
bitcoin,2020-03-25,122445336599.19923
bitcoin,2020-03-26,123732739823.4625
bitcoin,2020-03-27,117019679177.81361
bitcoin,2020-03-28,114171796491.49913
bitcoin,2020-03-29,108551603303.50957
bitcoin,2020-03-30,117151628726.53436
bitcoin,2020-03-31,117750205634.39989
bitcoin,2020-04-01,120921617010.34784
bitcoin,2020-04-02,124719708453.63535
bitcoin,2020-04-03,123234164427.70816
bitcoin,2020-04-04,125564427826.17566
bitcoin,2020-04-05,124272363451.93964
bitcoin,2020-04-06,133484854333.44951
bitcoin,2020-04-07,131782164465.85344
bitcoin,2020-04-08,134518720640.0234
bitcoin,2020-04-09,133598651281.71776
bitcoin,2020-04-10,125740858699.27551
bitcoin,2020-04-11,125980543742.36499
bitcoin,2020-04-12,126655463658.31227
bitcoin,2020-04-13,125651103790.21225
bitcoin,2020-04-14,125713883015.64563
bitcoin,2020-04-15,121499498109.80829
bitcoin,2020-04-16,129402884477.95892
bitcoin,2020-04-17,128961704237.38853
bitcoin,2020-04-18,132775323305.43571
bitcoin,2020-04-19,130680700686.31035
bitcoin,2020-04-20,125724610427.89977
bitcoin,2020-04-21,125473149029.1152
bitcoin,2020-04-22,130398643209.39326
bitcoin,2020-04-23,135414822709.73111
bitcoin,2020-04-24,137493716065.4006
bitcoin,2020-04-25,138298135122.85803
bitcoin,2020-04-26,140977260141.33173
bitcoin,2020-04-27,142649802462.8293
bitcoin,2020-04-28,142370212777.1421
bitcoin,2020-04-29,160483573440.17792
bitcoin,2020-04-30,158042623264.3916
bitcoin,2020-05-01,161989355178.82224
bitcoin,2020-05-02,164603123455.99927
bitcoin,2020-05-03,163036842346.68604
bitcoin,2020-05-04,162341412439.88123
bitcoin,2020-05-05,165335617639.04947
bitcoin,2020-05-06,167950864937.1468
bitcoin,2020-05-07,182927847431.44946
bitcoin,2020-05-08,180421762956.3486
bitcoin,2020-05-09,175752574354.63544
bitcoin,2020-05-10,160814678353.7077
bitcoin,2020-05-11,158113540964.46692
bitcoin,2020-05-12,161474125336.405
bitcoin,2020-05-13,170593350055.82486
bitcoin,2020-05-14,179398095871.3398
bitcoin,2020-05-15,170983863891.47488
bitcoin,2020-05-16,172309401206.74423
bitcoin,2020-05-17,177224284369.1316
bitcoin,2020-05-18,178446153576.46417
bitcoin,2020-05-19,179127815802.66245
bitcoin,2020-05-20,175227227252.9058
bitcoin,2020-05-21,166569335290.8396
bitcoin,2020-05-22,168309812992.5134
bitcoin,2020-05-23,168614573110.75775
bitcoin,2020-05-24,161407638875.36517
bitcoin,2020-05-25,163333743988.58344
bitcoin,2020-05-26,162547226896.53772
bitcoin,2020-05-27,168615778509.82266
bitcoin,2020-05-28,175534414971.32306
bitcoin,2020-05-29,173355014878.4796
bitcoin,2020-05-30,177978616382.68933
bitcoin,2020-05-31,174105710752.04755
